vote_id,yes,no,abstain
3f26aab8-a98d-4238-a1a7-6c55b5c4ac1b,0,73,0
15e79347-e7ae-4066-97a1-e8265984c060,0,80,0
9d0df3a0-72d1-4629-ae15-6b9fa052b38e,0,79,0
dc6c79a3-5635-4657-9b0c-815a89ed327f,3,67,13
e99cb06c-9f00-4572-8cbb-0ec405abb4ee,0,84,0
1177b111-2648-4de0-9863-615bc4be8d3a,1,82,0
40318e30-1f69-4995-b600-812064cf36f5,14,0,70
a1611ffd-a656-4517-bcd4-c17653430699,0,84,1
d16c8490-219b-4b7d-a91b-b5995383f322,0,1,78
02d27c4f-2775-4109-8ef2-80d3d0cfeac2,0,79,0
fd2964e3-d9d2-4039-8def-13fe1a25c157,76,1,0
477635ef-9bec-4ae6-b527-76519ed16347,72,0,0
b6e7ee29-9eef-4e35-aed7-cf4bfc7e8d8c,72,0,2
e9ff43f0-0429-4598-ade8-10c5ea34e9c6,0,75,0
f09355b1-ee45-45d9-b772-97e19548fe1d,0,76,0
f0ed5ffe-5dd9-45a4-abfa-a8b77d8fc0ae,0,84,0
39f90bc7-007b-4545-8f63-2a84eb5236ba,86,0,0
f0c5ff65-bff5-4860-b70d-721972e9cde5,86,0,0
52335771-4dce-48f3-8d9a-2fdf8a9db176,0,81,0
e7fb1ac1-a648-4d15-bca5-a665c7f37343,80,0,0
3d8b4af5-4778-405d-bed3-8cdc943f9276,74,0,0
56ef7897-9cc0-438e-9301-d66a88f00a89,0,76,1
29174344-3943-4dcc-9b69-09b51b2c9fb9,79,0,0
fc1734d2-866e-456e-84df-0f729afffb22,0,75,0
870d6780-e325-4bf5-8970-f51812711c95,0,76,1
7f0ae944-a1d6-4c9a-b5f7-b7d94d5276ae,0,81,0
95953ea8-9b9e-436f-9fb7-608622499cba,0,81,0
2f43d13a-ab7a-49ba-b9f0-225285ba2324,0,79,0
d46b0a52-fa5d-47e9-b032-e8ad3a60c334,0,77,0
5f37b5c4-3abc-45b7-8d5b-e03f6f91c57a,0,65,0
2cb527ad-8f75-4d1d-ae7e-5cd4775bb506,0,75,0
fc7a08f1-9861-418b-9b86-eda33acf6533,1,27,52
d0032024-5523-4a18-9e68-622da93ccd6b,79,1,0
7daed0ed-1206-41ea-a688-b875820c012c,71,0,0
68bd6325-f33a-417a-b38b-559d3df0c742,61,0,1
ef5a3687-f4f5-414f-b15e-14a4c0125751,0,77,0
37ca9003-a608-455a-819c-817d4718dc98,0,77,0
09cb7478-cc7e-43a8-b658-fbd69f330c57,1,1,74
88f9d849-9978-4f93-a6a0-e2ddd10b44a8,76,2,0
0ea0b0a9-d7f1-47f3-bbbe-50cf32ecc7d8,0,83,0
20241590-9c89-40e6-9c79-32b2109eac9b,74,7,1
30ac35b0-c6f7-4427-93af-7105b5c9e0da,0,83,0
72c93488-1c73-4232-858f-5ae52220670c,0,71,0
f7482dcc-ecd8-4e3f-8138-ed77903efa45,80,0,2
fded42cc-62ce-44ec-9730-72582d996df8,73,13,0
50b408f0-2934-4ad4-8acc-713ae044a841,73,11,0
b238dcaf-7e6d-4432-b702-3340419cd332,0,86,0
10da77f0-03cf-4e5e-afc0-4d6232eb43b9,0,79,0
957b9994-d508-48ed-bdc0-6fd270f0d208,0,85,0
9b231d90-42dc-4ef3-bed1-afa678b61562,0,85,1
aa61c7d7-343b-4d2b-aed3-60f87ffbf02d,0,1,65
08266768-18f0-4d37-9169-b14667ebc719,0,2,62
19086aa8-7ae0-4512-bfbb-836b97acf580,0,0,67
73f6add9-2afa-4717-b5f9-f0e9fd7890ad,0,83,0
557c0b57-e3ee-45c4-b1e1-095318f5433d,86,0,0
58a2682d-2be2-4764-9b45-434f5f25e800,81,0,3
566fa315-5ea4-4181-a728-47fae9b70727,1,75,0
741d16ac-9b60-4421-b377-0d5daae55982,1,72,0
7a6825a3-1de8-43ff-bec3-b4dcb761398e,76,0,0
a6bb2394-73ac-4e36-ad09-5dec4b920703,0,74,0
933ab129-3bc0-4f98-a01b-2f224b8d6fcb,2,72,1
5b8e9b44-0b92-4e72-9863-0682665914bb,0,76,0
0f838e1d-314a-4ab1-81fc-143553552de7,80,0,0
e3a974a1-5d59-4993-bef6-b944d50315d1,79,0,0
bda8d482-8708-4438-891d-49fee1606837,74,0,1
78f446a2-a0df-44f4-86ce-efea17eedc5d,86,0,0
c0a65614-5bbc-43c2-8f60-d7fd92f722fe,65,7,9
50c22383-69df-41d1-aec0-a9cf12e70088,0,80,0
6782e7e4-3456-43e9-a3d7-4b3decd9bb97,0,81,0
9ed9b203-1553-4fb1-af56-1f4bb0f99718,0,80,0
6c4c017e-b880-47ab-96ae-3dc855097195,0,83,0
7eb02adf-eee1-4aa0-aaf8-ba5b4bebe667,0,85,0
b82bd944-7a86-418b-9c39-e63c64debf1a,76,0,1
4d5d38b5-8129-4d31-8a8a-a21d3a74580e,0,82,0
e7945a24-f49c-4bd3-878f-0d0fb83ff1b2,76,0,1
904821fb-0cc3-4891-ba09-62565f3d2746,0,77,0
